en;nl;fr;de;sv;pl;no;es;it;pt;lv;lt
Configuration Text;Configuratietekst;Texte de configuration;Konfigurationstext;Konfigurationstext;Tekst konfiguracji;Konfigureringstekst;Texto de configuración;Testo di configurazione;Texto de configuração;Konfigurācijas teksts;Konfigūracijos tekstas
sync;synchroniseren;synchroniser;synchronisieren;synkronisera;synchronizować;synkronisere;sincronizar;sincronizzare;sincronizar;sinhronizēt;sinchronizuoti
Start by adding a new script to enhance your model's functionality;Begin met het toevoegen van een nieuw script om de functionaliteit van je model te verbeteren;Commencez par ajouter un nouveau script pour améliorer la fonctionnalité de votre modèle;Beginnen Sie damit, ein neues Skript hinzuzufügen, um die Funktionalität Ihres Modells zu verbessern;Börja med att lägga till ett nytt skript för att förbättra din modells funktionalitet;Zacznij od dodania nowego skryptu, aby poprawić funkcjonalność swojego modelu;Begynn med å legge til et nytt skript for å forbedre funksjonaliteten til modellen din;Comienza añadiendo un nuevo script para mejorar la funcionalidad de tu modelo;Inizia aggiungendo un nuovo script per migliorare la funzionalità del tuo modello;Comece adicionando um novo script para melhorar a funcionalidade do seu modelo;Sāciet, pievienojot jaunu skriptu, lai uzlabotu sava modeļa funkcionalitāti;Pradėkite pridėdami naują scenarijų, kad pagerintumėte savo modelio funkcionalumą
Sharing these CRM accounts will affect 1 quotation.;Het delen van deze CRM-accounts heeft invloed op 1 offerte.;Le partage de ces comptes CRM affectera 1 devis.;Das Teilen dieser CRM-Konten wird 1 Angebot beeinflussen.;Att dela dessa CRM-konton kommer att påverka 1 offert.;Udostępnienie tych kont CRM wpłynie na 1 ofertę.;Deling av disse CRM-kontoene vil påvirke 1 tilbud.;Compartir estas cuentas de CRM afectará 1 cotización.;Condividere questi account CRM influenzerà 1 preventivo.;Compartilhar essas contas de CRM afetará 1 cotação.;Šo CRM kontu koplietošana ietekmēs 1 piedāvājumu.;Dalijimasis šiais CRM paskyromis paveiks 1 pasiūlymą.
Additional Purchase Price;Aanvullende aankoopprijs;Prix d'achat supplémentaire;Zusätzlicher Kaufpreis;Ytterligare inköpspris;Dodatkowa cena zakupu;Tilleggs kjøpesum;Precio de compra adicional;Prezzo di acquisto aggiuntivo;Preço de compra adicional;Papildu pirkuma cena;Papildoma pirkimo kaina
Enabling SSO is required by your organization;Het inschakelen van SSO is vereist door uw organisatie;L'activation du SSO est requise par votre organisation;Die Aktivierung von SSO ist von Ihrer Organisation erforderlich;Aktivering av SSO krävs av din organisation;Włączenie SSO jest wymagane przez twoją organizację;Aktivering av SSO er påkrevd av din organisasjon;Habilitar SSO es requerido por su organización;Abilitare SSO è richiesto dalla tua organizzazione;Ativar SSO é exigido pela sua organização;SSO aktivizēšana ir nepieciešama jūsu organizācijai;SSO įjungimas yra būtinas jūsų organizacijai
Editor;Editor;Éditeur;Editor;Redigerare;Edytor;Redigerer;Editor;Editor;Editor;Redaktors;Redaktorius
Source control;Versiebeheer;Contrôle de version;Versionskontrolle;Versionskontroll;Kontrola wersji;Versjonskontroll;Control de versiones;Controllo di versione;Controle de versão;Versiju kontrole;Versijų kontrolė
Billing;Facturering;Facturation;Abrechnung;Fakturering;Fakturowanie;Fakturering;Facturación;Fatturazione;Faturamento;Rēķinu izrakstīšana;Sąskaitų išrašymas
Add Identity Provider;Voeg identiteitsprovider toe;Ajouter un fournisseur d'identité;Identitätsanbieter hinzufügen;Lägg till identitetsleverantör;Dodaj dostawcę tożsamości;Legg til identitetsleverandør;Agregar proveedor de identidad;Aggiungi fornitore di identità;Adicionar provedor de identidade;Pievienot identitātes sniedzēju;Pridėti tapatybės teikėją
Which settings would you like to copy?;Welke instellingen wilt u kopiëren?;Quelles paramètres souhaitez-vous copier?;Welche Einstellungen möchten Sie kopieren?;Vilka inställningar vill du kopiera?;Jakie ustawienia chcesz skopiować?;Hvilke innstillinger vil du kopiere?;¿Qué configuraciones te gustaría copiar?;Quali impostazioni desideri copiare?;Quais configurações você gostaria de copiar?;Kuras iestatījumus vēlaties kopēt?;Kuri nustatymai norite kopijuoti?
File;Bestand;Fichier;Datei;Fil;Plik;Fil;Archivo;File;Arquivo;Fails;Failas
Login activity history;Inlogactiviteitgeschiedenis;Historique des activités de connexion;Anmeldeaktivitätsverlauf;Inloggningsaktivitetshistorik;Historia aktywności logowania;Innlogging aktivitetshistorikk;Historial de actividad de inicio de sesión;Cronologia delle attività di accesso;Histórico de atividade de login;Pieteikšanās aktivitāšu vēsture;Prisijungimo veiklos istorija
, that are not influenced by configuration values,;, die niet worden beïnvloed door configuratiewaarden,;, qui ne sont pas influencés par les valeurs de configuration,;, die nicht von Konfigurationswerten beeinflusst werden,;, som inte påverkas av konfigurationsvärden,;, które nie są wpływane przez wartości konfiguracyjne,;, som ikke påvirkes av konfigurasjonsverdier,;, que no están influenciados por los valores de configuración,;, che non sono influenzati dai valori di configurazione,;, que não são influenciados pelos valores de configuração,;, kurus neietekmē konfigurācijas vērtības,;, kurie nėra paveikti konfigūracijos reikšmių,
Permission;Toestemming;Permission;Erlaubnis;Behörighet;Zezwolenie;Tillatelse;Permiso;Permesso;Permissão;Atļauja;Leidimas
Saving the settings will not affect any quotations.;Het opslaan van de instellingen heeft geen invloed op offertes.;Enregistrer les paramètres n'affectera pas les devis.;Das Speichern der Einstellungen hat keine Auswirkungen auf Angebote.;Att spara inställningarna påverkar inte några offerter.;Zapisanie ustawień nie wpłynie na żadne oferty.;Lagring av innstillingene vil ikke påvirke noen tilbud.;Guardar la configuración no afectará a ninguna cotización.;Salvare le impostazioni non influenzerà alcuna quotazione.;Salvar as configurações não afetará nenhuma cotação.;Iestatījumu saglabāšana neietekmēs nevienu piedāvājumu.;Nustatymų išsaugojimas neturės įtakos jokiems pasiūlymams.
Ascending;Oplopend;Ascendant;Aufsteigend;Stigande;Rosnący;Stigende;Ascendente;Ascendente;Ascendente;Augošs;Kylantis
Is recommendation feature;Is aanbevelingsfunctie;Est fonction de recommandation;Ist Empfehlungsfunktion;Är rekommendationsfunktion;Czy jest funkcja rekomendacji;Er anbefalingsfunksjon;Es función de recomendación;È funzione di raccomandazione;É função de recomendação;Vai ir ieteikumu funkcija;Ar tai rekomendacijų funkcija
Select Organizations;Selecteer Organisaties;Sélectionner les Organisations;Organisationen auswählen;Välj Organisationer;Wybierz Organizacje;Velg Organisasjoner;Seleccionar Organizaciones;Seleziona Organizzazioni;Selecionar Organizações;Izvēlieties Organizācijas;Pasirinkite Organizacijas
reCAPTCHA site key;reCAPTCHA site sleutel;clé de site reCAPTCHA;reCAPTCHA-Site-Schlüssel;reCAPTCHA webbnyckel;klucz witryny reCAPTCHA;reCAPTCHA nettstednøkkel;clave del sitio reCAPTCHA;chiave del sito reCAPTCHA;chave do site reCAPTCHA;reCAPTCHA vietnes atslēga;reCAPTCHA svetainės raktas
Open the Formula Editor for “Breedte” feature and click “Syntax help“ in the top right to compare the function in the formula to the  available functions.;"Open de Formule-editor voor de ""Breedte"" feature en klik op ""Syntaxhulp"" rechtsboven om de functie in de formule te vergelijken met de beschikbare functies.";"Ouvrez l'Éditeur de Formules pour la fonctionnalité ""Largeur"" et cliquez sur ""Aide à la syntaxe"" en haut à droite pour comparer la fonction dans la formule avec les fonctions disponibles.";"Öffnen Sie den Formel-Editor für die ""Breite"" Funktion und klicken Sie auf ""Syntaxhilfe"" oben rechts, um die Funktion in der Formel mit den verfügbaren Funktionen zu vergleichen.";"Öppna Formelredigeraren för ""Bredd""-funktionen och klicka på ""Syntaxhjälp"" uppe till höger för att jämföra funktionen i formeln med de tillgängliga funktionerna.";Otwórz Edytor Formuły dla funkcji „Szerokość” i kliknij „Pomoc w składni” w prawym górnym rogu, aby porównać funkcję w formule z dostępnymi funkcjami.;"Åpne Formelredigereren for ""Bredde""-funksjonen og klikk på ""Syntaxhjelp"" øverst til høyre for å sammenligne funksjonen i formelen med de tilgjengelige funksjonene.";"Abre el Editor de Fórmulas para la función ""Ancho"" y haz clic en ""Ayuda de sintaxis"" en la esquina superior derecha para comparar la función en la fórmula con las funciones disponibles.";"Apri l'Editor di Formula per la funzione ""Larghezza"" e fai clic su ""Aiuto alla sintassi"" in alto a destra per confrontare la funzione nella formula con le funzioni disponibili.";"Abra o Editor de Fórmulas para a função ""Largura"" e clique em ""Ajuda de Sintaxe"" no canto superior direito para comparar a função na fórmula com as funções disponíveis.";"Atveriet Formulu redaktoru funkcijai ""Platums"" un noklikšķiniet uz ""Sintakses palīdzība"" augšējā labajā stūrī, lai salīdzinātu funkciju formulā ar pieejamām funkcijām.";Atidarykite Formulių redaktorių funkcijai „Plotis“ ir spustelėkite „Sintaksės pagalba“ viršutiniame dešiniajame kampe, kad palygintumėte formulėje esančią funkciją su prieinamomis funkcijomis.
Is less than or equal to;Is kleiner dan of gelijk aan;Est inférieur ou égal à;Ist kleiner oder gleich;Är mindre än eller lika med;Jest mniejsze lub równe;Er mindre enn eller lik;Es menor o igual que;È minore o uguale a;É menor ou igual a;Ir mazāks vai vienāds ar;Yra mažesnis arba lygus
Linked configurations;Gekoppelde configuraties;Configurations liées;Verknüpfte Konfigurationen;Länkade konfigurationer;Powiązane konfiguracje;Koblede konfigurasjoner;Configuraciones vinculadas;Configurazioni collegate;Configurações vinculadas;Saistītās konfigurācijas;Susietos konfigūracijas
Quotation actions;Offerte-acties;Actions de devis;Angebotsaktionen;Offertåtgärder;Akcje ofertowe;Tilbudshandlinger;Acciones de cotización;Azioni di preventivo;Ações de cotação;Piedāvājuma darbības;Pasiūlymo veiksmai
Searchbar (dialog);Zoekbalk (dialoog);Barre de recherche (dialogue);Suchleiste (Dialog);Sökfält (dialog);Pasek wyszukiwania (okno dialogowe);Søkelinje (dialog);Barra de búsqueda (diálogo);Barra di ricerca (dialogo);Barra de pesquisa (diálogo);Meklēšanas josla (dialogs);Paieškos juosta (dialogas)
A list of variables to use in the formula editor;Een lijst van variabelen om te gebruiken in de formule-editor;Une liste de variables à utiliser dans l'éditeur de formules;Eine Liste von Variablen, die im Formel-Editor verwendet werden können;En lista med variabler att använda i formelredigeraren;Lista zmiennych do użycia w edytorze formuł;En liste over variabler som kan brukes i formelredigereren;Una lista de variables para usar en el editor de fórmulas;Un elenco di variabili da utilizzare nell'editor di formule;Uma lista de variáveis para usar no editor de fórmulas;Mainīgo saraksts, ko izmantot formulas redaktorā;Kintamųjų sąrašas, kurį galima naudoti formulės redaktoriuje
Show hidden features;Toon verborgen functies;Afficher les fonctionnalités cachées;Versteckte Funktionen anzeigen;Visa dolda funktioner;Pokaż ukryte funkcje;Vis skjulte funksjoner;Mostrar funciones ocultas;Mostra funzionalità nascoste;Mostrar recursos ocultos;Rādīt slēptās funkcijas;Rodyti paslėptas funkcijas
Image;Afbeelding;Image;Bild;Bild;Obraz;Bilde;Imagen;Immagine;Imagem;Attēls;Vaizdas
Excluded from price;Uitsluitend van prijs;Exclu du prix;Vom Preis ausgeschlossen;Utesluten från priset;Wyłączone z ceny;Ekskludert fra prisen;Excluido del precio;Escluso dal prezzo;Excluído do preço;Izslēgts no cenas;Išskirta iš kainos
User Roles;Gebruikersrollen;Rôles d'utilisateur;Benutzerrollen;Användarroller;Role użytkowników;Brukerroller;Roles de usuario;Ruoli utente;Funções de usuário;Lietotāju lomas;Vartotojo vaidmenys
Transfer to sub-organization;Overdragen aan suborganisatie;Transférer à la sous-organisation;Übertragen an die Unterorganisation;Överföring till underorganisation;Przenieś do podorganizacji;Overføre til underorganisasjon;Transferir a suborganización;Trasferisci a sotto-organizzazione;Transferir para sub-organização;Pārsūtīt uz apakšorganizāciju;Perkelti į suborganizaciją
Changing the CRM Sharing type will affect;Het wijzigen van het CRM-delingstype heeft invloed op;Changer le type de partage CRM affectera;Ändern des CRM-Freigabetyp hat Auswirkungen auf;Att ändra CRM-delningstypen kommer att påverka;Zmiana typu udostępniania CRM wpłynie na;Endring av CRM-delingstype vil påvirke;Cambiar el tipo de compartición de CRM afectará;Cambiare il tipo di condivisione CRM influenzerà;Alterar o tipo de compartilhamento do CRM afetará;CRM koplietošanas veida maiņa ietekmēs;CRM dalijimosi tipo keitimas paveiks
Import;Importeren;Importer;Importieren;Importera;Importuj;Importer;Importar;Importa;Importar;Importēt;Importuoti
Quotations of;Offertes van;Citations de;Angebote von;Citat av;Cytaty od;Sitat fra;Citas de;Citazioni di;Citações de;Citi no;Citatos iš
Displayed checkout elements;Weergegeven afreken elementen;Éléments de paiement affichés;Angezeigte Checkout-Elemente;Visade kassaelement;Wyświetlone elementy kasy;Viste kasseelementer;Elementos de pago mostrados;Elementi di checkout visualizzati;Elementos de checkout exibidos;Rādītie norēķinu elementi;Rodyti atsiskaitymo elementai
Re-use existing feature;Herbruik bestaande feature;Réutiliser la fonctionnalité existante;Bestehende Funktion wiederverwenden;Återanvänd befintlig funktion;Ponownie użyj istniejącej funkcji;Gjenbruk eksisterende funksjon;Reutilizar la función existente;Riutilizza la funzionalità esistente;Reutilizar a funcionalidade existente;Atkārtoti izmantot esošo funkciju;Pakartotinai naudoti esamą funkciją
Are you sure you want to create a revision for this quotation?;Weet je zeker dat je een revisie voor deze offerte wilt maken?;Êtes-vous sûr de vouloir créer une révision pour ce devis ?;Sind Sie sicher, dass Sie eine Überarbeitung für dieses Angebot erstellen möchten?;Är du säker på att du vill skapa en revidering för detta erbjudande?;Czy na pewno chcesz stworzyć rewizję dla tej oferty?;Er du sikker på at du vil lage en revisjon for dette tilbudet?;¿Estás seguro de que quieres crear una revisión para esta cotización?;Sei sicuro di voler creare una revisione per questo preventivo?;Tem certeza de que deseja criar uma revisão para esta cotação?;Vai tiešām vēlaties izveidot labojumu šai piedāvājumam?;Ar tikrai norite sukurti peržiūrą šiam pasiūlymui?
Delete all unvalid errors;Verwijder alle ongeldige fouten;Supprimer toutes les erreurs non valides;Löschen Sie alle ungültigen Fehler;Ta bort alla ogiltiga fel;Usuń wszystkie nieprawidłowe błędy;Slett alle ugyldige feil;Eliminar todos los errores no válidos;Elimina tutti gli errori non validi;Excluir todos os erros inválidos;Dzēst visas nederīgās kļūdas;Ištrinti visus negaliojančius klaidas
Change default CRM account;Wijzig standaard CRM-account;Modifier le compte CRM par défaut;Standard-CRM-Konto ändern;Ändra standard CRM-konto;Zmień domyślne konto CRM;Endre standard CRM-konto;Cambiar la cuenta CRM predeterminada;Cambia l'account CRM predefinito;Alterar conta CRM padrão;Mainīt noklusējuma CRM kontu;Keisti numatytąjį CRM paskyrą
Configuration retention period;Configuratiebehoudperiode;Période de conservation de la configuration;Konfigurationsaufbewahrungszeitraum;Konfigurationsbevarande period;Okres przechowywania konfiguracji;Konfigurasjonsbevaringsperiode;Período de retención de configuración;Periodo di conservazione della configurazione;Período de retenção da configuração;Konfigurācijas saglabāšanas periods;Konfigūracijos išsaugojimo laikotarpis
CRM accounts linked to this quotation will no longer be visible, and CRM data in this quotation will be lost.;CRM-accounts die aan deze offerte zijn gekoppeld, zijn niet langer zichtbaar en CRM-gegevens in deze offerte gaan verloren.;Les comptes CRM liés à ce devis ne seront plus visibles et les données CRM de ce devis seront perdues.;CRM-Konten, die mit diesem Angebot verknüpft sind, werden nicht mehr sichtbar sein, und die CRM-Daten in diesem Angebot gehen verloren.;CRM-konton kopplade till denna offert kommer inte längre att vara synliga, och CRM-data i denna offert kommer att gå förlorade.;Konta CRM powiązane z tą ofertą nie będą już widoczne, a dane CRM w tej ofercie zostaną utracone.;CRM-konto knyttet til dette tilbudet vil ikke lenger være synlig, og CRM-data i dette tilbudet vil gå tapt.;Las cuentas de CRM vinculadas a esta cotización ya no serán visibles y los datos de CRM en esta cotización se perderán.;I conti CRM collegati a questo preventivo non saranno più visibili e i dati CRM in questo preventivo andranno persi.;As contas CRM vinculadas a esta cotação não serão mais visíveis e os dados CRM nesta cotação serão perdidos.;CRM konti, kas saistīti ar šo piedāvājumu, vairs nebūs redzami, un CRM dati šajā piedāvājumā tiks zaudēti.;CRM paskyros, susietos su šiuo pasiūlymu, nebus matomos, o CRM duomenys šiame pasiūlyme bus prarasti.
Select category;Selecteer categorie;Sélectionner la catégorie;Kategorie auswählen;Välj kategori;Wybierz kategorię;Velg kategori;Seleccionar categoría;Seleziona categoria;Selecionar categoria;Izvēlieties kategoriju;Pasirinkite kategoriją
Dropdown (legacy);Dropdown (legacy);Dropdown (legacy);Dropdown (legacy);Dropdown (legacy);Dropdown (legacy);Dropdown (legacy);Dropdown (legacy);Dropdown (legacy);Dropdown (legacy);Dropdown (legacy);Dropdown (legacy)
Security;Beveiliging;Sécurité;Sicherheit;Säkerhet;Bezpieczeństwo;Sikkerhet;Seguridad;Sicurezza;Segurança;Drošība;Saugumas
Are you sure you want to delete this language?;Weet je zeker dat je deze taal wilt verwijderen?;Êtes-vous sûr de vouloir supprimer cette langue ?;Sind Sie sicher, dass Sie diese Sprache löschen möchten?;Är du säker på att du vill ta bort det här språket?;Czy na pewno chcesz usunąć ten język?;Er du sikker på at du vil slette dette språket?;¿Estás seguro de que quieres eliminar este idioma?;Sei sicuro di voler eliminare questa lingua?;Tem certeza de que deseja excluir este idioma?;Vai tiešām vēlaties dzēst šo valodu?;Ar tikrai norite ištrinti šią kalbą?
Conflicting Linked Model;Conflicterend Gelinkt Model;Modèle Lié Conflit;Konfliktierendes Verknüpftes Modell;Konflikterande Länkat Modell;Konfliktowy Model Powiązany;Konflikterende Knyttede Modell;Modelo Vinculado en Conflicto;Modello Collegato in Conflitto;Modelo Vinculado em Conflito;Pretrunīgs Saistītais Modelis;Prieštaraujantis Susietas Modelis
Public;Openbaar;Public;Öffentlich;Offentlig;Publiczny;Offentlig;Público;Pubblico;Público;Publisks;Viešas
Html;Html;Html;Html;Html;Html;Html;Html;Html;Html;Html;Html
end-of-life;einde levensduur;fin de vie;Lebensende;livslängd;koniec życia;livssyklus;fin de vida;fine vita;fim de vida;beigu dzīves cikls;gyvavimo pabaiga
Excludes;Sluit uit;Exclut;Schließt aus;Exkluderar;Wyklucza;Ekskluderer;Excluye;Esclude;Exclui;Izslēdz;Išskiria
Diagnostics;Diagnostiek;Diagnostics;Diagnosen;Diagnostik;Diagnostyka;Diagnostikk;Diagnósticos;Diagnostica;Diagnósticos;Diagnostika;Diagnostika
Set the reCAPTCHA secret key to enable reCAPTCHA for custom interfaces.;Stel de reCAPTCHA geheime sleutel in om reCAPTCHA in te schakelen voor aangepaste interfaces.;Définissez la clé secrète reCAPTCHA pour activer reCAPTCHA pour les interfaces personnalisées.;Setzen Sie den reCAPTCHA-Geheimschlüssel, um reCAPTCHA für benutzerdefinierte Schnittstellen zu aktivieren.;Ställ in reCAPTCHA hemliga nyckel för att aktivera reCAPTCHA för anpassade gränssnitt.;Ustaw tajny klucz reCAPTCHA, aby włączyć reCAPTCHA dla niestandardowych interfejsów.;Sett reCAPTCHA hemmelig nøkkel for å aktivere reCAPTCHA for tilpassede grensesnitt.;Establezca la clave secreta de reCAPTCHA para habilitar reCAPTCHA para interfaces personalizadas.;Imposta la chiave segreta reCAPTCHA per abilitare reCAPTCHA per interfacce personalizzate.;Defina a chave secreta reCAPTCHA para habilitar reCAPTCHA para interfaces personalizadas.;Iestatiet reCAPTCHA slepeno atslēgu, lai iespējotu reCAPTCHA pielāgotām saskarnēm.;Nustatykite reCAPTCHA slapta raktą, kad įjungtumėte reCAPTCHA pritaikytoms sąsajoms.
Send;Verzenden;Envoyer;Senden;Skicka;Wyślij;Send;Enviar;Invia;Enviar;Sūtīt;Siųsti
Save anyway;Toch opslaan;Enregistrer quand même;Trotzdem speichern;Spara ändå;Zapisz mimo to;Lagre uansett;Guardar de todos modos;Salva comunque;Salvar de qualquer maneira;Saglabāt tomēr;Išsaugoti vis tiek
Please confirm your email address.;Bevestig alstublieft uw e-mailadres.;Veuillez confirmer votre adresse e-mail.;Bitte bestätigen Sie Ihre E-Mail-Adresse.;Vänligen bekräfta din e-postadress.;Proszę potwierdzić swój adres e-mail.;Vennligst bekreft e-postadressen din.;Por favor, confirme su dirección de correo electrónico.;Si prega di confermare il proprio indirizzo email.;Por favor, confirme seu endereço de e-mail.;Lūdzu, apstipriniet savu e-pasta adresi.;Prašome patvirtinti savo el. pašto adresą.
Linked Model relationship from;Gekoppeld modelrelatie van;Relation de modèle lié de;Verknüpfte Modellbeziehung von;Länkad modellrelation från;Relacja modelu powiązanego z;Koblet modellforhold fra;Relación de modelo vinculado de;Relazione del modello collegato da;Relação de modelo vinculado de;Saistītā modeļa attiecība no;Susietos modelio santykis iš
Unit price incl. VAT;Eenheidsprijs incl. BTW;Prix unitaire TTC;Einzelpreis inkl. MwSt.;Enhetspris inkl. moms;Cena jednostkowa z VAT;Enhetspris inkl. mva;Precio unitario con IVA;Prezzo unitario IVA inclusa;Preço unitário com IVA;Vienības cena ar PVN;Vieneto kaina su PVM
Visualization;Visualisatie;Visualisation;Visualisierung;Visualisering;Wizualizacja;Visualisering;Visualización;Visualizzazione;Visualização;Vizualizācija;Vizualizacija
To;Om;À;Zu;Till;Do;Til;A;A;Para;Uz;Į
Check the following variables in the formula:;Controleer de volgende variabelen in de formule:;Vérifiez les variables suivantes dans la formule :;Überprüfen Sie die folgenden Variablen in der Formel:;Kontrollera följande variabler i formeln:;Sprawdź następujące zmienne w formule:;Sjekk følgende variabler i formelen:;Verifica las siguientes variables en la fórmula:;Controlla le seguenti variabili nella formula:;Verifique as seguintes variáveis na fórmula:;Pārbaudiet šādas mainīgās formulā:;Patikrinkite šiuos kintamuosius formulėje:
Open the formula and check its content.;Open de formule en controleer de inhoud.;Ouvrez la formule et vérifiez son contenu.;Öffnen Sie die Formel und überprüfen Sie deren Inhalt.;Öppna formeln och kontrollera dess innehåll.;Otwórz formułę i sprawdź jej zawartość.;Åpne formelen og sjekk innholdet.;Abre la fórmula y verifica su contenido.;Apri la formula e controlla il suo contenuto.;Abra a fórmula e verifique seu conteúdo.;Atveriet formulu un pārbaudiet tās saturu.;Atidarykite formulę ir patikrinkite jos turinį.
Default Margin percentage;Standaard margepercentage;Pourcentage de marge par défaut;Standardmargenprozentsatz;Standardmarginalprocent;Domyślny procent marży;Standard marginprosent;Porcentaje de margen predeterminado;Percentuale di margine predefinita;Porcentagem de margem padrão;Noklusējuma peļņas procents;Numatytas pelno procentas
Target Organizations;Doelorganisaties;Organisations cibles;Zielorganisationen;Målorganisationer;Organizacje docelowe;Målorganisasjoner;Organizaciones objetivo;Organizzazioni target;Organizações-alvo;Mērķorganizācijas;Tikslo organizacijos
Let my end customers configure new orders;Laat mijn eindklanten nieuwe bestellingen configureren;Laissez mes clients finaux configurer de nouvelles commandes;Lassen Sie meine Endkunden neue Bestellungen konfigurieren;Låt mina slutkunder konfigurera nya beställningar;Pozwól moim klientom końcowym konfigurować nowe zamówienia;La mine sluttkunder konfigurere nye bestillinger;Deja que mis clientes finales configuren nuevos pedidos;Lascia che i miei clienti finali configurino nuovi ordini;Deixe meus clientes finais configurarem novos pedidos;Ļauj maniem gala klientiem konfigurēt jaunus pasūtījumus;Leisk mano galutiniams klientams konfigūruoti naujas užsakymus
Back to partner page;Terug naar partnerpagina;Retour à la page partenaire;Zur Partnerseite zurück;Tillbaka till partner sidan;Powrót do strony partnera;Tilbake til partner siden;Volver a la página de socios;Torna alla pagina partner;Voltar para a página do parceiro;Atpakaļ uz partnera lapu;Grįžti į partnerio puslapį
User suspended message;Bericht over geschorste gebruiker;Message d'utilisateur suspendu;Nachricht über gesperrten Benutzer;Meddelande om avstängd användare;Wiadomość o zawieszeniu użytkownika;Melding om suspendert bruker;Mensaje de usuario suspendido;Messaggio utente sospeso;Mensagem de usuário suspenso;Lietotāja apturēšanas ziņojums;Naudotojo sustabdymo pranešimas
Delete language;Verwijder taal;Supprimer la langue;Sprache löschen;Ta bort språk;Usuń język;Slett språk;Eliminar idioma;Elimina lingua;Excluir idioma;Dzēst valodu;Ištrinti kalbą
Manage prices configuration models;Beheer prijsconfiguratiemodellen;Gérer les modèles de configuration des prix;Preiskonfigurationsmodelle verwalten;Hantera prisconfigurationsmodeller;Zarządzaj modelami konfiguracji cen;Administrer pris konfigurasjonsmodeller;Gestionar modelos de configuración de precios;Gestire i modelli di configurazione dei prezzi;Gerenciar modelos de configuração de preços;Pārvaldīt cenu konfigurācijas modeļus;Valdyti kainų konfigūracijos modelius
Embed the showroom into my website;Embed de showroom in mijn website;Intégrer le showroom dans mon site web;Binden Sie den Showroom in meine Website ein;Bädda in showrummet på min webbplats;Osadź showroom na mojej stronie internetowej;Sett inn showroomet på nettstedet mitt;Incorpora el showroom en mi sitio web;Incorpora il showroom nel mio sito web;Incorpore o showroom no meu site;Iekļaujiet izstāžu zāli manā vietnē;Įdiekite parodų salę į mano svetainę
Changelogs;Wijzigingslogboeken;Journal des modifications;Änderungsprotokolle;Ändringsloggar;Dzienniki zmian;Endringslogger;Registros de cambios;Registro delle modifiche;Registros de alterações;Izmaiņu žurnāli;Pokyčių žurnalai
Use default currency from organization;Gebruik standaardvaluta van de organisatie;Utiliser la devise par défaut de l'organisation;Verwenden Sie die Standardwährung der Organisation;Använd standardvaluta från organisationen;Użyj domyślnej waluty organizacji;Bruk standardvaluta fra organisasjonen;Usar la moneda predeterminada de la organización;Usa la valuta predefinita dell'organizzazione;Usar a moeda padrão da organização;Izmantojiet organizācijas noklusējuma valūtu;Naudokite organizacijos numatytąją valiutą
Loading;Laden;Chargement;Laden;Laddar;Ładowanie;Laster;Cargando;Caricamento;Carregando;Ielādēšana;Kraunama
Sharing these CRM accounts will not affect any quotations.;Het delen van deze CRM-accounts heeft geen invloed op offertes.;Le partage de ces comptes CRM n'affectera pas les devis.;Das Teilen dieser CRM-Konten hat keine Auswirkungen auf Angebote.;Att dela dessa CRM-konton kommer inte att påverka några offerter.;Udostępnienie tych kont CRM nie wpłynie na żadne oferty.;Deling av disse CRM-kontoene vil ikke påvirke noen tilbud.;Compartir estas cuentas de CRM no afectará ninguna cotización.;Condividere questi account CRM non influenzerà alcun preventivo.;Compartilhar essas contas de CRM não afetará nenhuma cotação.;Šo CRM kontu koplietošana neietekmēs nevienu piedāvājumu.;Dalijimasis šiais CRM paskyromis neturės įtakos jokiems pasiūlymams.
The formula editor can detect illegal characters if they are the only content in the formula. Please keep this in mind.;De formule-editor kan illegale tekens detecteren als ze de enige inhoud in de formule zijn. Houd hier rekening mee.;L'éditeur de formules peut détecter des caractères illégaux s'ils sont le seul contenu de la formule. Veuillez en tenir compte.;Der Formel-Editor kann illegale Zeichen erkennen, wenn sie der einzige Inhalt in der Formel sind. Bitte beachten Sie dies.;Formeleditorn kan upptäcka olagliga tecken om de är det enda innehållet i formeln. Vänligen ha detta i åtanke.;Edytor formuł może wykrywać nielegalne znaki, jeśli są one jedyną treścią w formule. Proszę o tym pamiętać.;Formelredigereren kan oppdage ulovlige tegn hvis de er det eneste innholdet i formelen. Vennligst husk dette.;El editor de fórmulas puede detectar caracteres ilegales si son el único contenido en la fórmula. Por favor, ten esto en cuenta.;L'editor di formule può rilevare caratteri non validi se sono l'unico contenuto nella formula. Si prega di tenerne conto.;O editor de fórmulas pode detectar caracteres ilegais se forem o único conteúdo na fórmula. Por favor, tenha isso em mente.;Formulu redaktors var noteikt nelikumīgus simbolus, ja tie ir vienīgais saturs formulā. Lūdzu, ņemiet to vērā.;Formulių redaktorius gali aptikti neteisėtus simbolius, jei jie yra vienintelis saturs formulėje. Prašome to atkreipti dėmesį.
Design mode;Ontwerpmode;Mode de conception;Entwurfsmodus;Designläge;Tryb projektowania;Designmodus;Modo de diseño;Modalità di design;Modo de design;Dizaina režīms;Dizaino režimas
Is less than;Is minder dan;Est inférieur à;Ist weniger als;Är mindre än;Jest mniejsze niż;Er mindre enn;Es menor que;È minore di;É menor que;Ir mazāks par;Yra mažiau nei
